#Workload;algorithm;train_score;test_score;mase;mae;medae;mape;lambda;r2
LCG-2005-1.swf.gz;sklearn;0.907793350186991;0.7220243144402029;0.26126974085077276;4082.2691780269083;191.1461181640625;inf;0.44487973501040295;0.7220243144402029
LLNL-Thunder-2007-1.1-cln.swf.gz;sklearn;0.6711435806718984;0.5323510160472824;0.3660056438540303;1425.1810983553075;53.326913833618164;nan;0.43317045894456085;0.5323510160472824
SHARCNET-Whale-2006-2.swf.gz;sklearn;0.696573249372312;0.6929963255847869;0.38925907326192466;21778.810631020107;10719.1015625;nan;0.5729720543463984;0.6929963255847869
LANL-O2K-1999-2.swf.gz;sklearn;0.5238223231762411;0.4853634324249101;0.40598895623775666;3284.5308015040255;571.4592895507812;7188.5219729653045;0.6666325825109375;0.4853634324249101
fh1_workload.swf.gz;sklearn;0.8139284385771526;0.7858773390749311;0.25079411262297796;8633.624129973667;366.7625732421875;11848.031841797569;0.06758882047284802;0.7858773390749311
SDSC-DS-2004-2.1-cln.swf.gz;sklearn;0.22907954298893896;0.6071983964678517;0.3480223887246204;3905.6036878362297;481.2407684326172;inf;0.31570633498030365;0.6071983964678517
SDSC-Par-1996-3.1-cln.swf.gz;sklearn;0.7274363905786518;0.4881265296639251;0.2695038004599845;3407.440503876542;467.27783203125;2997.787949928976;0.392493120219326;0.4881265296639251
DAS2-fs4-2003-1.swf.gz;sklearn;0.9401224530261749;0.5713883628110328;0.2379693358576336;1127.01210848778;20.106414794921875;nan;0.014830626559394482;0.5713883628110328
DAS2-fs3-2003-1.swf.gz;sklearn;0.9129368461781253;-0.25186079475460743;0.42381423951674274;566.6884626910398;3.0;nan;0.04459577638640911;-0.25186079475460743
METACENTRUM-2009-2.swf.gz;sklearn;0.6572787582110471;0.5151136578727635;0.26646323979669545;9390.279390827232;347.35687255859375;nan;0.454128591773172;0.5151136578727635
UniLu-Gaia-2014-2.swf.gz;sklearn;0.7039791781383383;0.5782990896661583;0.29702645901450314;7351.0657892391355;217.94482421875;inf;0.04144618194023794;0.5782990896661583
Sandia-Ross-2001-1.1-cln.swf.gz;sklearn;0.6414397144798967;0.4625234878733008;0.4769240411379123;33453.1349270353;5506.94677734375;inf;0.2558638217926608;0.4625234878733008
OSC-Clust-2000-3.1-cln.swf.gz;sklearn;0.6193136769164431;0.45312069758819096;0.45690755032826097;21053.25818476426;4603.56689453125;inf;0.80414522629246;0.45312069758819096
KIT-FH2-2016-1.swf.gz;sklearn;0.6817515151162126;0.6047379352236014;0.35346783666190146;10471.53405140271;1140.19140625;2806.4104790212214;0.2143494842814953;0.6047379352236014
KTH-SP2-1996-2.1-cln.swf.gz;sklearn;0.863987359074992;0.7855098907513297;0.2712449934400365;3812.2572396046894;584.3505712890625;inf;0.7577733074240559;0.7855098907513297
Intel-NetbatchC-2012-1.swf.gz;sklearn;-1.0002184414048543e-08;-1.3538649170641293e-06;0.8706687679516563;4365.408379229848;2622.863525390625;inf;1.6529976809002418;-1.3538649170641293e-06
DAS2-fs2-2003-1.swf.gz;sklearn;0.8409457245101284;0.6199026089909128;0.4199729399311126;961.9484488323245;75.68817901611328;inf;0.08865205545158505;0.6199026089909128
DAS2-fs1-2003-1.swf.gz;sklearn;0.8129540070395357;0.0914825984757831;0.43576093973300534;825.9721278493175;15.469207763671875;inf;0.03808884289812822;0.0914825984757831
NASA-iPSC-1993-3.1-cln.swf.gz;sklearn;0.7027339629500639;0.3817992343230704;0.5601849084289044;733.9705835659923;246.53639221191403;inf;0.9878441461758037;0.3817992343230704
SDSC-SP2-1998-4.2-cln.swf.gz;sklearn;0.8578981303239864;0.6677786760497568;0.2939957676297633;3245.5269711853316;339.932373046875;inf;0.3000396320230829;0.6677786760497568
HPC2N-2002-2.2-cln.swf.gz;sklearn;0.7852369219291284;0.7313992527296054;0.271314504355653;7384.522165818178;845.0755004882812;26896.26632340806;0.26431516121319526;0.7313992527296054
SDSC-Par-1995-3.1-cln.swf.gz;sklearn;0.5467119239408014;0.43948424267137964;0.32379976710347563;2493.654756614129;193.83541870117188;inf;0.55994158412967;0.43948424267137964
SDSC-BLUE-2000-4.2-cln.swf.gz;sklearn;0.7531336650861212;0.7244138892401417;0.2872662886723614;2032.8480967894534;286.4761962890625;inf;0.3251816280424854;0.7244138892401417
LLNL-T3D-1996-2.swf.gz;sklearn;0.6028718447653927;0.4302676344387425;0.4850688087758914;1103.1338988249495;236.96634521484373;inf;0.8464321938219914;0.4302676344387425
LLNL-uBGL-2006-2.swf.gz;sklearn;0.9077107379480986;0.8057422862715284;0.15272636413628932;66.26864155604142;0.0;nan;0.12308510920326865;0.8057422862715284
Intel-NetbatchA-2012-1.swf.gz;sklearn;-5.2625021229602e-08;-8.260093060652451e-07;0.8352087755525951;3131.34067341822;2028.0517578125;inf;1.4933479421016063;-8.260093060652451e-07
CTC-SP2-1996-3.1-cln.swf.gz;sklearn;0.7799957614285715;0.6782179716854948;0.3356651732670571;5572.427924508395;1177.33544921875;inf;0.4228422647189231;0.6782179716854948
PIK-IPLEX-2009-1.swf.gz;sklearn;0.18217793476887756;0.18208110710982417;0.7777790190851476;44494.96465997956;15905.70361328125;inf;1.4484696301049746;0.18208110710982417
ANL-Intrepid-2009-1.swf.gz;sklearn;0.781836331962376;0.6878545427666785;0.19036411974734022;1295.0436565883479;177.82861328125;223.08876171636064;0.3173970697481932;0.6878545427666785
