#Workload;algorithm;train_score;test_score;mase;mae;medae;mape;lambda;r2
HPC2N-2002-2.2-cln.swf.gz;tpot;-0.0;-4685.436630950469;0.17214748478926126;4685.436630950469;38.72173055715598;8934.060380878285;0.1677064420222605;0.7698279097074174
LANL-CM5-1994-4.1-cln.swf.gz;tpot;-0.0;-1404.4687931739757;0.3703453627285435;1404.4687931739757;305.9022945640776;844.9859695785292;0.7123776836432395;0.3438745742654499
RICC-2010-2.swf.gz;tpot;-3271.8656359982924;-3592.905958889876;0.17901372031288257;3592.905958889876;717.1726351351354;5898.426219890077;0.028693684744381647;0.8788416925775485
LLNL-Thunder-2007-1.1-cln.swf.gz;tpot;-0.0;-1121.0429616629272;0.2878988862853807;1121.0429616629272;19.498641838528908;nan;0.34073051822010325;0.5189453054287041
SDSC-DS-2004-2.1-cln.swf.gz;tpot;-0.0;-3350.372500713107;0.29854658434671894;3350.372500713107;100.71005875890762;inf;0.27082466823584245;0.5619035169440394
METACENTRUM-2009-2.swf.gz;tpot;-0.0;-7756.471487610182;0.22010149389146427;7756.471487610182;292.8029015977324;nan;0.37511508733574167;0.601196351017112
DAS2-fs0-2003-1.swf.gz;tpot;-0.0;-221.4345420468957;0.23937457645482677;221.4345420468957;15.517666207847014;inf;0.02941137026706625;-0.41574919579336167
LCG-2005-1.swf.gz;tpot;-0.0;-3275.127462651539;0.20961177867104783;3275.127462651539;91.16280936352327;inf;0.3569186092755264;0.7543286484839744
CTC-SP2-1996-3.1-cln.swf.gz;tpot;-1281.67220819808;-4658.0041279912975;0.28058321864051783;4658.0041279912975;600.673333333334;inf;0.35345473126486293;0.7064152094715659
SDSC-Par-1995-3.1-cln.swf.gz;tpot;-1358.622695695317;-2108.1256333277206;0.27373901190043964;2108.1256333277206;56.94673393511744;inf;0.47337234777145554;0.4334269218642435
LLNL-Atlas-2006-2.1-cln.swf.gz;tpot;-398.28499734141985;-2417.0616014776692;0.277030868009898;2417.0616014776692;35.65315873015872;nan;0.19967832586360532;0.33401417448795157
KIT-FH2-2016-1.swf.gz;tpot;-0.0;-7362.480774229575;0.2485213855923207;7362.480774229575;123.76784186255554;1397.960876317467;0.15070800030270007;0.6262322548156569
DAS2-fs3-2003-1.swf.gz;tpot;-0.0;-454.3356907401858;0.33978799275704824;454.3356907401858;2.0;nan;0.03575412983069791;0.003526796529995324
CEA-Curie-2011-2.1-cln.swf.gz;tpot;-0.0;-3386.1319629435825;0.30970111930561156;3386.1319629435825;86.08452886417739;nan;0.09811190059006913;0.6034857603007062
OSC-Clust-2000-3.1-cln.swf.gz;tpot;-0.0;-13802.286683549171;0.29954361183261397;13802.286683549171;640.0954546533103;nan;0.5271888489225942;0.48849889303148364
DAS2-fs4-2003-1.swf.gz;tpot;-0.0;-909.2163506215782;0.19198162067543065;909.2163506215782;5.086922191421536;nan;0.011964599187720536;0.5703774530951584
UniLu-Gaia-2014-2.swf.gz;tpot;-0.0;-5328.497414346389;0.2153027553049637;5328.497414346389;40.03197177240952;inf;0.030042701240189318;0.6270665522560266
PIK-IPLEX-2009-1.swf.gz;tpot;-23677.720737345633;-23927.19882713804;0.4182512195580035;23927.19882713804;2761.585424175215;nan;0.7789155716706382;0.6023968326053669
